ordernumber;orderdate;shippeddate;status;customernumber;orderlinenumber;productcode;quantityordered;priceeach
10367;2020-01-12;2020-01-16;Resolved       ;205;1;S18_1589       ;49;105.8
10367;2020-01-12;2020-01-16;Resolved       ;205;3;S18_1749       ;37;144.5
10367;2020-01-12;2020-01-16;Resolved       ;205;4;S18_2248       ;45;50.2
10367;2020-01-12;2020-01-16;Resolved       ;205;5;S18_2325       ;27;124.6
10367;2020-01-12;2020-01-16;Resolved       ;205;7;S18_2795       ;32;140.1
10367;2020-01-12;2020-01-16;Resolved       ;205;6;S18_3685       ;46;131.4
10367;2020-01-12;2020-01-16;Resolved       ;205;8;S18_4409       ;43;77.3
10367;2020-01-12;2020-01-16;Resolved       ;205;9;S18_4933       ;44;67
10367;2020-01-12;2020-01-16;Resolved       ;205;10;S24_1046       ;21;72.8
10367;2020-01-12;2020-01-16;Resolved       ;205;11;S24_1628       ;38;50.3
10367;2020-01-12;2020-01-16;Resolved       ;205;13;S24_1937       ;23;29.5
10367;2020-01-12;2020-01-16;Resolved       ;205;12;S24_2022       ;28;43
10367;2020-01-12;2020-01-16;Resolved       ;205;2;S24_2972       ;36;36.2
10211;2020-01-15;2020-01-18;Resolved       ;406;14;S10_1678       ;41;90.9
10211;2020-01-15;2020-01-18;Resolved       ;406;2;S12_1099       ;41;171.2
10211;2020-01-15;2020-01-18;Resolved       ;406;13;S12_2823       ;36;126.5
10211;2020-01-15;2020-01-18;Resolved       ;406;3;S12_3990       ;28;79.8
10211;2020-01-15;2020-01-18;Resolved       ;406;5;S18_3278       ;35;73.2
10211;2020-01-15;2020-01-18;Resolved       ;406;4;S18_3482       ;28;138.2
10211;2020-01-15;2020-01-18;Resolved       ;406;8;S18_3782       ;46;60.3
10211;2020-01-15;2020-01-18;Resolved       ;406;7;S18_4721       ;41;148.8
10211;2020-01-15;2020-01-18;Resolved       ;406;15;S24_1578       ;25;109.3
10211;2020-01-15;2020-01-18;Resolved       ;406;11;S24_2360       ;21;62.3
10211;2020-01-15;2020-01-18;Resolved       ;406;1;S24_3371       ;48;52.7
10211;2020-01-15;2020-01-18;Resolved       ;406;6;S24_4620       ;22;80.8
