ordernumber;orderdate;shippeddate;status;customernumber;orderlinenumber;productcode;quantityordered;priceeach
10208;2020-01-02;2020-01-04;Shipped        ;146;13;S12_1108       ;46;176.6
10208;2020-01-02;2020-01-04;Shipped        ;146;14;S12_3148       ;26;128.4
10208;2020-01-02;2020-01-04;Shipped        ;146;12;S12_3891       ;20;152.3
10208;2020-01-02;2020-01-04;Shipped        ;146;9;S18_3140       ;24;117.5
10208;2020-01-02;2020-01-04;Shipped        ;146;11;S18_3259       ;48;96.8
10208;2020-01-02;2020-01-04;Shipped        ;146;8;S18_4522       ;45;72.8
10208;2020-01-02;2020-01-04;Shipped        ;146;7;S24_2011       ;35;122.9
10208;2020-01-02;2020-01-04;Shipped        ;146;2;S24_3151       ;20;80.5
10208;2020-01-02;2020-01-04;Shipped        ;146;15;S50_1514       ;30;58
10208;2020-01-02;2020-01-04;Shipped        ;146;3;S700_1138      ;38;56.7
10208;2020-01-02;2020-01-04;Shipped        ;146;10;S700_1938      ;40;73.6
10208;2020-01-02;2020-01-04;Shipped        ;146;1;S700_2610      ;46;63.6
10208;2020-01-02;2020-01-04;Shipped        ;146;4;S700_3505      ;37;95.2
10208;2020-01-02;2020-01-04;Shipped        ;146;5;S700_3962      ;33;95.3
10208;2020-01-02;2020-01-04;Shipped        ;146;6;S72_3212       ;42;48
10100;2020-01-06;2020-01-10;Shipped        ;363;3;S18_1749       ;30;136
10100;2020-01-06;2020-01-10;Shipped        ;363;2;S18_2248       ;50;55.1
10100;2020-01-06;2020-01-10;Shipped        ;363;4;S18_4409       ;22;75.5
10100;2020-01-06;2020-01-10;Shipped        ;363;1;S24_3969       ;49;35.3
10363;2020-01-06;2020-01-10;Shipped        ;334;3;S12_1099       ;33;181
10363;2020-01-06;2020-01-10;Shipped        ;334;4;S12_3380       ;34;106.9
10363;2020-01-06;2020-01-10;Shipped        ;334;5;S12_3990       ;34;68.6
10363;2020-01-06;2020-01-10;Shipped        ;334;6;S12_4675       ;46;103.6
10363;2020-01-06;2020-01-10;Shipped        ;334;7;S18_1889       ;22;61.6
10363;2020-01-06;2020-01-10;Shipped        ;334;10;S18_3278       ;46;69.2
10363;2020-01-06;2020-01-10;Shipped        ;334;11;S18_3482       ;24;124.9
10363;2020-01-06;2020-01-10;Shipped        ;334;12;S18_3782       ;32;52.2
10363;2020-01-06;2020-01-10;Shipped        ;334;13;S18_4721       ;28;123.5
