item_id|status_id|serial_number|warehouse_location_id|exp_dt|value
20131|1|86315568|2268||66.42
20132|1|500210504|2273||16.35
20133|1|83625|2365||17.06
20134|1|5280674|2305||95.72
20135|1|6017266|2272||86.30
20136|1|6017199|2272||20.21
20137|1|6017215|2272||31.22
20138|1|6017196|2272||48.88
20139|1|6017206|2272||30.17
20140|1|6017212|2272||92.37
20141|1|6017205|2272||22.97
20142|1|6017252|2272||36.61
20143|1|6017251|2272||40.64
20144|1|6017254|2272||43.40
20145|1|6017223|2272||62.70
20146|1|6017250|2272||52.81
20147|1|6017249|2272||89.80
20148|1|6017237|2272||25.87
20149|1|6017209|2272||21.79
20150|0|6015432|2303|2018-08-20 15:07:42|82.50
20151|0|6017236|2303|2018-08-20 15:07:42|86.57
20152|1|6017239|2303||9.17
20153|0|6003191|2303|2018-08-20 15:07:42|74.32
20154|1|6017200|2303||33.78
20155|1|6015421|2303||93.02
20156|1|6017208|2303||90.66
20157|0|6017203|2303|2018-08-20 15:07:42|76.44
20158|1|6017204|2303||28.25
20159|1|6017202|2303||43.63
20160|1|6015410|2303||43.47
20161|0|6006437|2303|2018-08-20 15:07:42|30.31
20162|1|6006438|2303||62.58
20163|1|6009142|2303||86.69
20164|1|6006444|2303||26.38
20165|1|5391403|2298||63.98
20166|1|6056211|2272||79.25
20167|0|05250148|2358|2018-08-20 15:07:42|91.94
20168|0|4822882|2272|2018-08-20 15:07:42|6.15
20169|0|05430642|2304|2018-08-20 15:07:42|84.11
20170|1|114705531|2351||9.34
20171|1|114705033|2312||93.65
20172|1|114705064|2312||67.69
20173|1|114705969|2312||82.94
20174|1|114705042|2352||75.19
20175|1|114705971|2312||63.20
20176|1|71571|2292||12.51
20177|1|6192873|2306||6.27
20178|1|024901|2272||65.91
20179|0|12364646|2365|2018-08-20 15:07:42|30.42
20180|1|12363589|2272||70.72
20181|1|12364166|2365||14.15
20182|0|12365193|2365|2018-08-20 15:07:42|23.59
20183|1|12363538|2365||97.70
20184|1|12364685|2365||77.12
20185|1|12364128|2365||90.72
20186|1|12364684|2365||3.06
20187|1|12364687|2365||16.08
20188|1|12363613|2365||86.67
20189|1|12364725|2272||85.11
20190|1|12365729|2365||93.16
20191|1|12366997|2272||17.44
